Location IP,Collection Time,Location,Status,HTTP Status Code,DNS Response Time (ms),SSL Handshake Time (ms),Connection Time (ms),Response Time (ms),Content Length (B),Resolved IP,Reason
43.133.98.45,February 23 2023 10:10:13 AM ICT,Bangkok - TH,Up,200,1,49,21,116,24122,13.107.238.48,-
43.225.142.155,February 23 2023 10:04:55 AM ICT,Bangkok - TH,Up,200,170,58,33,296,24122,13.107.237.68,-
43.225.142.155,February 23 2023 9:59:42 AM ICT,Bangkok - TH,Up,200,1001,63,26,1126,24122,13.107.238.59,-
43.225.142.155,February 23 2023 9:54:26 AM ICT,Bangkok - TH,Up,200,121,59,25,245,24122,13.107.238.59,-
43.225.142.155,February 23 2023 9:49:09 AM ICT,Bangkok - TH,Up,200,842,57,26,961,24122,13.107.238.59,-
43.225.142.155,February 23 2023 9:43:50 AM ICT,Bangkok - TH,Up,200,1002,59,23,1141,24122,13.107.238.59,-
43.225.142.155,February 23 2023 9:38:41 AM ICT,Bangkok - TH,Up,200,121,14,6,177,24122,13.107.238.59,-
43.225.142.155,February 23 2023 9:33:26 AM ICT,Bangkok - TH,Up,200,70,16,76,242,24122,13.107.237.59,-
43.225.142.155,February 23 2023 9:28:09 AM ICT,Bangkok - TH,Up,200,73,26,5,149,24122,13.107.237.59,-
43.225.142.155,February 23 2023 9:22:56 AM ICT,Bangkok - TH,Up,200,69,17,5,174,24122,13.107.237.59,-
43.225.142.155,February 23 2023 9:17:42 AM ICT,Bangkok - TH,Up,200,177,14,6,279,24122,13.107.237.59,-
43.225.142.155,February 23 2023 9:12:19 AM ICT,Bangkok - TH,Up,200,72,14,5,124,24122,13.107.237.59,-
43.225.142.155,February 23 2023 9:07:03 AM ICT,Bangkok - TH,Up,200,73,16,6,177,24122,13.107.238.59,-
43.225.142.155,February 23 2023 9:01:46 AM ICT,Bangkok - TH,Up,200,932,62,26,1057,24122,13.107.238.59,-
43.225.142.155,February 23 2023 8:56:27 AM ICT,Bangkok - TH,Up,200,928,61,27,1053,24122,13.107.237.59,-
