State,Country,Lat,Long,4_1_2020,12_1_2020,4_1_2021
,Afghanistan,33.93911,67.709953,197,46516,56517
,Albania,41.1533,20.1683,259,39014,125506
,Algeria,28.0339,1.6596,847,84152,117304
,Andorra,42.5063,1.5218,390,6790,12053
,Angola,-11.2027,17.8739,8,15251,22399
,Antigua and Barbuda,17.0608,-61.7964,7,142,1147
,Argentina,-38.4161,-63.6167,1054,1432570,2363251
,Armenia,40.0691,45.0382,571,135967,193736
Australian Capital Territory,Australia,-35.4735,149.0124,84,117,123
New South Wales,Australia,-33.8688,151.2093,2182,4588,5296
Northern Territory,Australia,-12.4634,130.8456,19,53,109
Queensland,Australia,-27.4698,153.0251,781,1205,1485
South Australia,Australia,-34.9285,138.6007,367,562,658
Tasmania,Australia,-42.8821,147.3272,69,230,234
Victoria,Australia,-37.8136,144.9631,968,20345,20484
Western Australia,Australia,-31.9505,115.8605,392,823,944
,Austria,47.5162,14.5501,10711,285489,549592
,Azerbaijan,40.1431,47.5769,359,125602,263961
,Bahamas,25.025885,-78.035889,21,7543,9171
,Bahrain,26.0275,50.55,569,87137,145380
,Bangladesh,23.685,90.3563,54,467225,617764
,Barbados,13.1939,-59.5432,34,278,3659
,Belarus,53.7098,27.9534,163,138219,323043
,Belgium,50.8333,4.469936,13964,579212,887920
,Belize,17.1899,-88.4976,3,5854,12456
,Benin,9.3077,2.3158,13,3015,7313
,Bhutan,27.5142,90.4336,4,414,886
,Bolivia,-16.2902,-63.5887,115,144810,273327
,Bosnia and Herzegovina,43.9159,17.6791,459,89085,171324
,Botswana,-22.3285,24.6849,4,10742,40878
,Brazil,-14.235,-51.9253,6836,6386787,12839844
,Brunei,4.5353,114.7277,131,151,213
,Bulgaria,42.7339,25.4858,422,148775,346327
,Burkina Faso,12.2383,-1.5616,282,2931,12774
,Burma,21.9162,95.956,15,92189,142466
,Burundi,-3.3731,29.9189,2,689,2842
,Cabo Verde,16.5388,-23.0418,6,10816,17587
,Cambodia,11.55,104.9167,109,329,2477
,Cameroon,3.848,11.5021,233,24487,57337
Alberta,Canada,53.9333,-116.5765,754,59484,149207
British Columbia,Canada,53.7267,-127.6476,1013,33894,100880
Diamond Princess,Canada,0,0,0,0,0
Grand Princess,Canada,0,0,13,13,13
Manitoba,Canada,53.7609,-98.8139,127,17107,34174
New Brunswick,Canada,46.5653,-66.4619,81,508,1623
Newfoundland and Labrador,Canada,53.1355,-57.6604,175,339,1020
Northwest Territories,Canada,64.8255,-124.8457,2,15,47
Nova Scotia,Canada,44.682,-63.7443,173,1315,1719
Nunavut,Canada,70.2998,-83.1076,0,182,395
Ontario,Canada,51.2538,-85.3232,2392,121770,359074
Prince Edward Island,Canada,46.5107,-63.4168,21,72,159
Quebec,Canada,52.9399,-73.5491,4611,143548,312362
Repatriated Travellers,Canada,,,0,13,13
Saskatchewan,Canada,52.9399,-106.4509,193,8745,33789
Yukon,Canada,64.2823,-135,5,47,74
,Central African Republic,6.6111,20.9394,3,4918,5222
,Chad,15.4542,18.7322,7,1700,4552
,Chile,-35.6751,-71.543,3137,552864,1003406
Anhui,China,31.8257,117.2264,990,992,994
Beijing,China,40.1824,116.4142,580,951,1049
Chongqing,China,30.0572,107.874,579,590,591
Fujian,China,26.0789,117.9874,345,490,561
Gansu,China,35.7518,104.2861,138,182,193
Guangdong,China,23.3417,113.4244,1501,1992,2282
Guangxi,China,23.8298,108.7881,254,263,267
Guizhou,China,26.8154,106.8748,146,147,147
Hainan,China,19.1959,109.7453,168,171,171
Hebei,China,39.549,116.1306,323,373,1317
Heilongjiang,China,47.862,127.7615,484,949,1610
Henan,China,37.8957,114.9042,1276,1290,1311
Hong Kong,China,22.3,114.2,765,6396,11480
Hubei,China,30.9756,112.2707,67802,68148,68152
Hunan,China,27.6104,111.7088,1018,1020,1043
Inner Mongolia,China,44.0935,113.9448,111,329,375
Jiangsu,China,32.9711,119.455,646,680,710
Jiangxi,China,27.614,115.7221,937,935,937
Jilin,China,43.6661,126.1923,98,157,573
Liaoning,China,41.2956,122.6085,140,289,407
Macau,China,22.1667,113.55,41,46,48
Ningxia,China,37.2692,106.1655,75,75,75
Qinghai,China,35.7452,95.9956,18,18,18
Shaanxi,China,35.1917,108.8701,255,500,567
Shandong,China,36.3427,118.1498,774,854,870
Shanghai,China,31.202,121.4491,516,1333,1887
Shanxi,China,37.5777,112.2922,137,221,241
Sichuan,China,30.6171,102.7103,552,808,949
Tianjin,China,39.3054,117.323,176,300,373
Tibet,China,31.6927,88.0924,1,1,1
Unknown,China,,,0,0,1
Xinjiang,China,41.1129,85.2401,76,980,980
Yunnan,China,24.974,101.487,182,219,251
Zhejiang,China,29.1832,120.0934,1257,1294,1323
,Colombia,4.5709,-74.2973,1065,1324792,2417826
,Comoros,-11.6455,43.3333,0,613,3704
,Congo (Brazzaville),-0.228,15.8277,19,5774,9681
,Congo (Kinshasa),-4.0383,21.7587,109,12859,28199
,Costa Rica,9.7489,-83.7534,375,140172,216764
,Cote d'Ivoire,7.54,-5.5471,190,21334,43889
,Croatia,45.1,15.2,963,131342,274054
,Cuba,21.521757,-77.781167,212,8381,76276
,Cyprus,35.1264,33.4299,320,10883,46173
,Czechia,49.8175,15.473,3508,528474,1539617
Faroe Islands,Denmark,61.8926,-6.9118,173,503,661
Greenland,Denmark,71.7069,-42.6043,10,18,31
,Denmark,56.2639,9.5018,3107,81949,231265
,Diamond Princess,0,0,712,712,712
,Djibouti,11.8251,42.5903,33,5680,8180
,Dominica,15.415,-61.371,12,85,164
,Dominican Republic,18.7357,-70.1627,1284,144302,253196
