State,Country,Lat,Long,4_1_2020,12_1_2020,4_1_2021
,Afghanistan,33.93911,67.709953,4,1822,2489
,Albania,41.1533,20.1683,15,822,2241
,Algeria,28.0339,1.6596,58,2447,3096
,Andorra,42.5063,1.5218,14,76,115
,Angola,-11.2027,17.8739,2,350,538
,Antigua and Barbuda,17.0608,-61.7964,0,4,28
,Argentina,-38.4161,-63.6167,28,38928,55941
,Armenia,40.0691,45.0382,4,2193,3533
Australian Capital Territory,Australia,-35.4735,149.0124,1,3,3
New South Wales,Australia,-33.8688,151.2093,9,53,54
Northern Territory,Australia,-12.4634,130.8456,0,0,0
Queensland,Australia,-27.4698,153.0251,2,6,6
South Australia,Australia,-34.9285,138.6007,0,4,4
Tasmania,Australia,-42.8821,147.3272,2,13,13
Victoria,Australia,-37.8136,144.9631,4,820,820
Western Australia,Australia,-31.9505,115.8605,2,9,9
,Austria,47.5162,14.5501,146,3325,9368
,Azerbaijan,40.1431,47.5769,5,1433,3593
,Bahamas,25.025885,-78.035889,1,163,188
,Bahrain,26.0275,50.55,4,341,523
,Bangladesh,23.685,90.3563,6,6675,9105
,Barbados,13.1939,-59.5432,0,7,42
,Belarus,53.7098,27.9534,2,1166,2257
,Belgium,50.8333,4.469936,828,16786,23045
,Belize,17.1899,-88.4976,0,148,317
,Benin,9.3077,2.3158,0,43,93
,Bhutan,27.5142,90.4336,0,0,1
,Bolivia,-16.2902,-63.5887,7,8963,12280
,Bosnia and Herzegovina,43.9159,17.6791,13,2727,6675
,Botswana,-22.3285,24.6849,1,34,591
,Brazil,-14.235,-51.9253,240,173817,325284
,Brunei,4.5353,114.7277,1,3,3
,Bulgaria,42.7339,25.4858,10,4188,13313
,Burkina Faso,12.2383,-1.5616,16,68,149
,Burma,21.9162,95.956,1,1972,3206
,Burundi,-3.3731,29.9189,0,1,6
,Cabo Verde,16.5388,-23.0418,1,106,169
,Cambodia,11.55,104.9167,0,0,14
,Cameroon,3.848,11.5021,6,441,851
Alberta,Canada,53.9333,-116.5765,9,551,1994
British Columbia,Canada,53.7267,-127.6476,24,457,1463
Diamond Princess,Canada,0,0,1,1,1
Grand Princess,Canada,0,0,0,0,0
Manitoba,Canada,53.7609,-98.8139,1,328,937
New Brunswick,Canada,46.5653,-66.4619,0,7,30
Newfoundland and Labrador,Canada,53.1355,-57.6604,1,4,6
Northwest Territories,Canada,64.8255,-124.8457,0,0,0
Nova Scotia,Canada,44.682,-63.7443,0,65,66
Nunavut,Canada,70.2998,-83.1076,0,0,4
Ontario,Canada,51.2538,-85.3232,37,3680,7384
Prince Edward Island,Canada,46.5107,-63.4168,0,0,0
Quebec,Canada,52.9399,-73.5491,99,7172,10676
Repatriated Travellers,Canada,,,0,0,0
Saskatchewan,Canada,52.9399,-106.4509,3,51,436
Yukon,Canada,64.2823,-135,0,1,1
,Central African Republic,6.6111,20.9394,0,63,72
,Chad,15.4542,18.7322,0,102,164
,Chile,-35.6751,-71.543,16,15430,23328
Anhui,China,31.8257,117.2264,6,6,6
Beijing,China,40.1824,116.4142,8,9,9
Chongqing,China,30.0572,107.874,6,6,6
Fujian,China,26.0789,117.9874,1,1,1
Gansu,China,35.7518,104.2861,2,2,2
Guangdong,China,23.3417,113.4244,8,8,8
Guangxi,China,23.8298,108.7881,2,2,2
Guizhou,China,26.8154,106.8748,2,2,2
Hainan,China,19.1959,109.7453,6,6,6
Hebei,China,39.549,116.1306,6,6,7
Heilongjiang,China,47.862,127.7615,13,13,13
Henan,China,37.8957,114.9042,22,22,22
Hong Kong,China,22.3,114.2,4,109,205
Hubei,China,30.9756,112.2707,3193,4512,4512
Hunan,China,27.6104,111.7088,4,4,4
Inner Mongolia,China,44.0935,113.9448,1,1,1
Jiangsu,China,32.9711,119.455,0,0,0
Jiangxi,China,27.614,115.7221,1,1,1
Jilin,China,43.6661,126.1923,1,2,3
Liaoning,China,41.2956,122.6085,2,2,2
Macau,China,22.1667,113.55,0,0,0
Ningxia,China,37.2692,106.1655,0,0,0
Qinghai,China,35.7452,95.9956,0,0,0
Shaanxi,China,35.1917,108.8701,3,3,3
Shandong,China,36.3427,118.1498,7,7,7
Shanghai,China,31.202,121.4491,6,7,7
Shanxi,China,37.5777,112.2922,0,0,0
Sichuan,China,30.6171,102.7103,3,3,3
Tianjin,China,39.3054,117.323,3,3,3
Tibet,China,31.6927,88.0924,0,0,0
Unknown,China,,,0,0,0
Xinjiang,China,41.1129,85.2401,3,3,3
Yunnan,China,24.974,101.487,2,2,2
Zhejiang,China,29.1832,120.0934,1,1,1
,Colombia,4.5709,-74.2973,17,36934,63614
,Comoros,-11.6455,43.3333,0,7,146
,Congo (Brazzaville),-0.228,15.8277,0,94,135
,Congo (Kinshasa),-4.0383,21.7587,9,335,745
,Costa Rica,9.7489,-83.7534,2,1731,2957
,Cote d'Ivoire,7.54,-5.5471,1,132,244
,Croatia,45.1,15.2,6,1861,5967
,Cuba,21.521757,-77.781167,6,136,425
,Cyprus,35.1264,33.4299,9,49,260
,Czechia,49.8175,15.473,39,8407,26586
Faroe Islands,Denmark,61.8926,-6.9118,0,0,1
Greenland,Denmark,71.7069,-42.6043,0,0,0
,Denmark,56.2639,9.5018,104,846,2423
,Diamond Princess,0,0,11,13,13
,Djibouti,11.8251,42.5903,0,61,71
,Dominica,15.415,-61.371,0,0,0
,Dominican Republic,18.7357,-70.1627,57,2333,3330
,Ecuador,-1.8312,-78.1834,93,13501,16877
,Egypt,26.820553,30.802498,52,6666,12041
,El Salvador,13.7942,-88.8965,1,1120,2006
,Equatorial Guinea,1.6508,10.2679,0,85,103
,Eritrea,15.1794,39.7823,0,0,10
,Estonia,58.5953,25.0136,5,121,908
,Eswatini,-26.5225,31.4659,0,122,668
,Ethiopia,9.145,40.4897,0,1709,2890
,Fiji,-17.7134,178.065,0,2,2
,Finland,61.92411,25.748151,17,399,846
French Guiana,France,3.9339,-53.1258,0,70,93
French Polynesia,France,-17.6797,149.4068,0,76,141
Guadeloupe,France,16.265,-61.551,6,149,173
Martinique,France,14.6415,-61.0242,3,41,50
Mayotte,France,-12.8275,45.166244,1,49,161
New Caledonia,France,-20.904305,165.618042,0,0,0
Reunion,France,-21.1151,55.5364,0,40,115
Saint Barthelemy,France,17.9,-62.8333,0,1,1
Saint Pierre and Miquelon,France,46.8852,-56.3159,0,0,0
St Martin,France,18.0708,-63.0501,1,12,12
Wallis and Futuna,France,-14.2938,-178.1165,0,0,4
,France,46.2276,2.2137,4767,53158,95356
,Gabon,-0.8037,11.6094,1,60,118
,Gambia,13.4432,-15.3101,1,123,165
,Georgia,42.3154,43.3569,0,1303,3785
,Germany,51.165691,10.451526,920,17177,76823
,Ghana,7.9465,-1.0232,5,323,743
,Greece,39.0742,21.8243,50,2517,8160
,Grenada,12.1165,-61.679,0,0,1
,Guatemala,15.7835,-90.2308,1,4178,6860
,Guinea,9.9456,-9.6966,0,76,127
,Guinea-Bissau,11.8037,-15.1804,0,44,63
,Guyana,4.860416,-58.93018,2,151,233
,Haiti,18.9712,-72.2852,0,233,252
,Holy See,41.9029,12.4534,0,0,0
,Honduras,15.2,-86.2419,10,2918,4622
,Hungary,47.1625,19.5033,20,4977,20995
,Iceland,64.9631,-19.0208,2,27,29
,India,20.593684,78.96288,58,138122,163396
,Indonesia,-0.7893,113.9213,157,17081,41054
